Texto,Label Sobre Produto,Label Sobre Loja,Polaridade do review,Polaridade do review,Polaridade do review
"Estou usando a 3 semanas, 2 vezes ao dia, e já notei uma uniformidade na cor da minha pele, ainda não posso falar das pequenas rugas, mas acredito que com o uso continuo, este produto cumprirá o que promete. Um produto leve bem fluido, recomendo. Época parabéns, entrega e SAC perfeitos. ",Product,Store,Good,Experience,
"Achei o produto muito bom, gostei. ",Product,,Good,,
Ótima qualidade! Entrega no prazo! Recomendo!,Product,Store,Good,,
achei ótimo.produto recomendo para revenda.,Product,,Good,,
acho o produto bom e funcionou direito desde a primeira impressão.,Product,,Good,,
"Muito bom, adorei o produto, ótima qualidade.",Product,,Good,,
Excelente ,Product,,Good,,
"preço, qualidade, durabilidade",Product,,Good,,
Otimo produto,Product,,Good,,
Gostei do produto. Me auxilia no trabalho.,Product,,Good,,
"muito bom o produto. 
Ainda estou testando mas gostando muito!
",Product,,Good,,
Gostei muito,Product,,Good,,
Ótimo produto tecido leve e confortável ,Product,,Good,,
O jogo tem ótimos componentes e uma temática incrível! Boa alternativa ao demorado Eldrich Horror.,Product,,Good,,
A camiseta é maravilhosa.,Product,,Good,,
"Excelente, de boa qualdade e muito bonito. Exatamente como eu queria",Product,,Good,,
facilidade de compra,Product,,Good,,
"Bom cabo, ideal para fazer Y ",Product,,Good,,
"PORQUE FUI BEM ATENDIDO, O PRODUTO FOI ENTREGUE CONFORME COMBINADO, E O CASO FOI RESOLVIDO. ",,Store,Good,,
"Não gostei, o degrade é meio apagado, veio com uns manchas pretas na laterais e é bem transparente.",Product,,Bad,,
Excelente sabonete! Cheirinho muito bom e gostoso na pele.,Product,,Good,,
"quanto ao produto: penso que poderia ser um pouco melhor em termos de ajustes e acabamento.
quanto ao atendimento/entrega realizado: excelente.
voltarei a comprar em breve",Product,Store,Bad,Good,
Design arrojado e de personalized.  ,Product,,Good,,
"entrega super rápido produto muito bem
embalado.recomendo",,Store,Good,,
Nao dei a nota maxima porque fiquei um pouco decepcionada. Ele nao tritura tão bem como eu pensei ao ver o video. ,Product,,Good,,
Exelente os resultados no abdomen!,Product,,Good,,
"Compacta,  boa capacidade,  fácil instalação e utilização. ",Product,,Good,,
Excelente game pra quem gosta de estratégia e ação.,Product,,Good,,
Produto com um design muito bonito,Product,,Good,,
Bom!,Product,,Good,,
"Produto de boa qualidade, so que quebra muito facilmente.",Product,,Good,Bad,
"Excelente tela e câmera, rápido, trava pouquíssimo pra um Android. Está entre os Tops do mercado. Só peca por não possuir certificação a prova d'água e poeira, e carregamento wireless nativo como o G3.",Product,,Good,,
"Atenciosos demais. Efetuei a compra pelo site e depois de algumas horas ligaram para meu celular confirmando os dados de compra e meus dados. Meu dermógrafo veio com um probleminha (ele desligava durante o procedimento) e entrei em contato pelo whatsapp de trocas e devoluções e me deram um código de isenção de pagamento dos correios para que eu enviasse o produto. Dentro de 6 dias obtive um produto novo. Gostei muito do atendimento. Rápido, prático e confiável.",,Store,Good,Experience,
FOI UM PEDIDO,,,Neutral,,
Bom!,Product,,Good,,
Gostei material bom e confortável.,Product,,Good,,
"Otimo tamanho, bom acabamento. Logo na minha primeira viagem foi testado na chuva e ficou comprovada sua impermeabilidade. 
Agora é torcer para que a durabilidade também ganhe nota alta.!",Product,,Good,,
"Ótimo produto muito satisfeito ,estão de parabéns entregam até antes do previsto.
",Product,Store,Good,,
Linda máscara. Muito rica em detalhes.,Product,,Good,,
"Eu achei o produto excelente, muito pratico e util. Adorei!",Product,,Good,,
"Boa qualidade, bonita, couro macio.",Product,,Good,,
muito cheiroso e boa duraçao,Product,,Good,,
muito bom,Product,,Good,,
Boa fixação. O cheiro é delicioso e a entrega foi rápida!,Product,Store,Good,,
Produto Top! Funciona Perfeitamente!,Product,,Good,,
linda blusa,Product,,Good,,
"otimo, como as características apresentaadas no anuncio",Product,,Good,,
Ex,,,Junk,,
"MARAVILHOSA, SITE EXCELENTE...COMPRO SEMPRE",Product,,Good,,
Porque é um ótimo produto,Product,,Good,,
Amei muito também! Corte e tecido são de muita qualidade! Adorei! Só não gosto do preço!,Product,,Good,,
"um aroma cativante
embalagem linda 
já usava antes adoreiiii",Product,,Good,,
MARAVILHOSO TÊNIS DE 1 QUALIDADE EM TODOS OS ASPECTOS.,Product,,Good,,
muito bom para fazer o shake cremoso no espaço Herbalife,Product,,Good,,
"Achei mto linda ao vivo e a cores. Vou dar de presente p meu filho usar no trabalho. Vamos ver se ele vai aprovar...
Parabens, Colombo!
Entrega rapida! Nota 1000",Product,Store,Good,,
"Eu achei, suave;
Eu compraria de novo;
Eu indicaria.
",Product,,Good,,
amei,Product,,Good,,
"O jogo é excelente, não tem o que explicar, é Dark Souls.",Product,,Good,,
Linda...amei a estampa e a malha.,Product,,Good,,
"Encaixe perfeito, sem necessidade de ajustes",Product,,Good,,
"bom 
comum, nada de diferente",Product,,Good,,
"Preço super em conta, e produto de ótima qualidade! <3",Product,,Good,,
"é maravilhosa,, excelente peça, linda e com um material excelente,, gostei muito mesmo. de tudo superou minhas expectativas. a marca é ótima.",Product,,Good,,
"O preço foi razoável, o prazo de entrega ótimo, produto de boa qualidade, no entanto um dos itens (1 reator do farol xenon, pois eram 2 unidades no kit) está com defeito (queimado), ou seja, se todos os itens estivessem ok, eu teria ficado 100% satisfeito com a compra!",Product,Store,Good,,
Linda...Veste bem e o decote atrás valoriza o modelo da blusa.,Product,,Good,,
"Otimo, amei, comprarei mais",Product,,Good,,
Eu gostei so acho que esta demorando muito para aparecer resultado. ,Product,,Good,Bad,
"Produto muito bom, entretanto o botão é de baixa qualidade.",Product,,Good,Bad,
Produto com acabamento muito bom encaixe perfeito estou satisfeito com o produto. ,Product,,Good,,
"Excelente aquisição e rápida entrega, recomendo!",Product,Store,Good,,
"Acabamento cuidadoso, sem cheiro ou detalhes.",Product,,Good,,
"Eu achei o produto muito bom. Mas a atitude da loja superou tudo, pois, eu feito o pedido que incluía o ternos e outros produtos, mas o terno não havia vindo, reclamei, tive um atendimento excelente e depois me enviaram o terno, se não fiz confusão, também houve a devolução do correspondente.

sou cliente da como há mais de 35 anos e espero continuar por mais 35.",Product,Store,Good,Experience,
Possui a cor muito bonita e bom material.,Product,,Good,,
"Sim, muito confortável",Product,,Good,,
"ficou apertado, tirei as medidas pela informação q vcs passaram porem ficou apertado....fiquei muito instisfeito.",Product,,Bad,,
Produto  de alta qualidade. Muito bom.,Product,,Good,,
"Muito bom
Vendedor muito eficiente
",Product,Store,Good,,
otimo do jeitinho que eu gosto,Product,,Good,,
Muito bom. ,Product,,Good,,
"toca demais, sem ruido",Product,,Good,,
"Na verdade não usei ainda, porém tendo em vista a marca, deve ser de ótima qualidade.",Product,,Good,,
Prática e de ótima qualidade....,Product,,Good,,
Do jeitinho que eu queria,Product,,Good,,
Textura maravilhosa... Deixa a pele macia.....,Product,,Good,,
Muito ruim a qualidade !!,Product,,Bad,,
Produto muito bom! esta atendendo.,Product,,Good,,
"Achei ótimo, em todo o trajeto da minha viagem fiquei informada sobre minha bagagem. Isto da tranqüilidade e segurança. Recomendo.",Product,,Good,,
eu achei exelente.,Product,,Good,,
"É um produto que eu,sempre tenho comigo...posso recomendá-lo com segurança...",Product,,Good,,
Muto bom!,Product,,Good,,
Costei do cheiro que é maravilhoso,Product,,Good,,
"Seria perfeito se as bermudas tivessem um bolso interno com fecho ecler, assim como outra bermuda cargo da Taco que eu havia comprado em 2015.",Product,,Good,,
o produto é ótimo de boa qualidades,Product,,Good,,
"Perfeito...  Parece q advinha o precisamos na pele 






",Product,,Good,,
Celular rapido com camera perfeita!!,Product,,Good,,
"eu adoro este perfume. Sempre que está em oferta eu aproveito para comprar, porque ele é maravilhoso.",Product,,Good,,
"Tudo OK! Produto otimo, Recomendo ",Product,,Good,,
MUITOOOO BOOOA MESMO,Product,,Good,,
Excelente ,Product,,Good,,
O PRODUTO NAO CHEGOU NO DESTINO.,,Store,Bad,,
Brinco muito bonito e entrega rápida...adorei,Product,Store,Good,,
Muito bom o produto.,Product,,Good,,
"Eu adorei o produto muito confortável, e são lindas  ",Product,,Good,,
"nao serviu exatamente para oque eu precisarei , mas... blz 
",Product,,Good,Bad,
Comecei usar e pensava que era mais forte como o NeoStrata! Espero que o resultado melhore!,Product,,Bad,,
"Otimo! Produto nao agride o cabelo, deixa-o brilhante  e maleavel.",Product,,Good,,
"Não gostei, a válvula não é apropriada para utilizar no shampoo que comprei.",Product,,Bad,,
"Adorei o adesivo, ficou bem bacana no meu quarto.
A entrega foi super rápido.
Estão de parabens!!",Product,Store,Good,,
"tecido leve, veste muito bem",Product,,Good,,
PÉSSIMO ATÉ AGORA AINDA NÃO RECEBI O PRODUTO E NEM TENHO RETORNO DE NINGUEM.,,Store,Bad,,
"Gostei, ficaram mto bons...",Product,,Good,,
"Produto (boné) com muitos fios soltos, acabamento deixou a desejar.",Product,,Bad,,
O produto é de boa qualidade.,Product,,Good,,
muito bom ok,Product,,Good,,
"Ótimo produto, excelente custo benefício. Primeira vez que compro, todas as peças que pedi são de ótima qualidade, com certeza comprarei mais vezes.",Product,,Good,,
arrasouuuuu! super bonitinha!,Product,,Good,,
muito bom,Product,,Good,,
Comprei o produto e al estala nao funcionou pois entrei em contato com vcs e me mandarao enviar o produto mas tennho q paga a postagem .pois o produto chegou dia 12/06 e istalado 13/06 ligou e desligou automaticamente.,,Store,Bad,,
"otimo , muito bom e rapida entrega ",Product,Store,Good,,
Amei tudo! Lindos e caprichados! Virei fã! ,Product,,Good,,
Sim! Tudo ok ;),Product,,Good,,
"Gostei, porém ainda não os utilizei.",Product,,Good,,
"Proveniente da compra do meu capacete, eficiente para manter meu produto higienizado e limpo, mantendo a conservação.",Product,,Good,,
Produto de qualidade e bom acabamento. E modelo atual.,Product,,Good,,
"A cortina é maravilhosa!!!! Muito mais linda do que na foto! A cor na foto parece ser rosada, mas é champanhe com fios bege dourado e bege perola bordados... Dá um efeito dourado dependendo da luz. Deixa a sala com um efeito muito sofisticado. Linda demais!!! Excelente compra!! Entrega rápida, muito boa loja! ",Product,Store,Good,,
era o que eu esperava,Product,,Good,,
"Tecido de qualidade, bem como a estampa. A cor é linda de morrer. Pra quem adora azul e Pequeno Príncipe, essa é a combinação perfeita! (:",Product,,Good,,
muito bom. tem bastante estabilidade,Product,,Good,,
"Normal, caro para um condicionador comum. O cheiro é ótimo.",Product,,Good,,
O cheiro dele é incrível e em duas aplicações já senti diferença!,Product,,Good,,
Produto ótimo e entrega rápida ! Foi presente e a pessoa que ganhou adorou ! ,Product,Store,Good,,
"Eu achei muito bom. Leve, bonito, rápido no processamento e o preço estava ótimo! ",Product,,Good,,
"Uma fritadeira bem prática, facilita muito o preparo dos mais diversos alimentos.",Product,,Good,,
"Dificil escolher o tamanho pois nao tem bojo, pra mim ficou um pouco grande, acho que acostumei com sutia de bojo.",,,Neutral,,
"muito bom, veio muito rápido e o produto veio em perfeito estado.",Product,Store,Good,,
sim,Product,,Good,,
perfeita ótimo ,Product,,Good,,
PECIMO,Product,,Bad,,
"Ótimo produto, promove excelente qualidade de som.",Product,,Good,,
"linda, excelente corte, bom caimento, a imagem no site demonstra bem o que ela é presencialmente.",Product,,Good,,
"Eu achei os pneus Goodride um produto de ótima qualidade e preço 
bem competitivo, ainda não sei quantos KM vão durar, mas acho que valeu a opção.",Product,,Good,,
"Produto perfeito, entregue no prazo e em ótimo estado de proteção. ",Product,Store,Good,,
"muito bom... excelente, super indico",Product,,Good,,
"Consegui resolver o funcionamento da ducha com sucesso.Tive um atendimento excelente:faturamento e entregar rapidas.BOM DE MAIS TRABALHAR COM PRODUTOS DE QUALIDADE REPRESENTADO POR ""EMPRESA SERIA"".",Product,Store,Good,,
"Achei que o produto era mais esfoliante e menos oleoso.
Mas gostei, me adaptei a textura dele.",Product,,Good,,
"Tudo ok com o produto, entrega antes do previsto. Unico ponto negativo é que não vem instruções, de como prende-lo no afastador. Pedi as instruções e até agora nada!",Product,Store,Good,Bad,
Um material bem acessível para quem está começando a trabalhar com aquarela!! Super recomendo.,Product,,Good,,
Maravilhoso!!!!!! Amoooo esse perfume!!! Volta de vez!!!!,Product,,Good,,
"Adorei o fogão.E a empresa tem ótimo atendimento,entrega de qualidade.Já realizei 3 compras e fiquei muito satisfeita.",Product,Store,Good,,
"Tem uma textura espessa que não espalha muito fácil. Precisei colocar mais produto, e minha cachorrinha é uma shih tzu pequena. Deixou ela limpinha, o cheiro é ótimo.  Ainda testando, mas recomendo. ",Product,,Good,Bad,
"Achei o P muito grande, tive que mandar para tirar um pouco de pano ao lado. Mas é lindo",Product,,Bad,Good,
Maravilhosa! Deixa o cabelo com um brilho intenso... Amei,Product,,Good,,
"Linda, veste muito bem. ",Product,,Good,,
Produto muito bom,Product,,Good,,
"Gostei muito, bem feita e tamanho esperado",Product,,Good,,
"Produto de qualidade, e a entrega perfeita.",Product,Store,Good,,
adoro os esfoliantes da boticário.... amo o cheirinho deles!! :),Product,,Good,,
nao conhecia mais foi otimo,Product,,Good,,
Otimo para trabalhar.,Product,,Good,,
"PQ  ALÉM DE SER BELA BELÍSSIMA, É TUDO DE BOM MODERNA CHARMOSA, UMA MÁQUINA DE FAZER GELO, SEM CONTAR QUE É UMA BRASTEMP.PRECISA DE MAIS? ACHO QUE NÃO NÉ?",Product,,Good,Excellent,
"AINDA NAO UTILIZEI,MAS CONCRUI PELA QUALIDADE DAS MESMA QUE E OTIMA",Product,,Good,,
eu esperava mais da peça,Product,,Bad,,
sim,Product,,Good,,
"É bom, consistencia bem firme, como uma base.  Boa cobertura",Product,,Good,,
Uma delicia de perfume. Entrega e atendimento nota 10! ,Product,Store,Good,,
Melissa linda e super confortável ❤️,Product,,Good,,
Atendeu as expectativas!,Product,,Good,,
eu achei um produto excelente,Product,,Good,,
"Adorei todos os produtos adquiridos, cumpriram com o combinado. ",Product,,Good,,
"ADORO! FRAGANCIA MARAVILHOSA,RECOMENDO.",Product,,Good,,
creme maravilhoso!!,Product,,Good,,
"Hinos no tom correto pra violino, instrumento que toco. Este material poderia ser impresso em um caderno de maior tamanho. Eu compraria.",Product,,Good,,
Gostei do produto muito chic!,Product,,Good,,
"Uso em luz alta. Aí é top. A baixa é H11, aí pra baixa minha avaliação não é tão boa.",Product,,Good,Bad,
"Sim, como eu queria..",Product,,Good,,
Ainda não recebi do produto,,Store,Bad,,
"Firme, bonito e anatômico. Sem contras!",Product,,Good,,
"Nada do que esperei, decepcionante!",Product,,Bad,,
PREÇO MUITO ALTO PELO PRODUTO,Product,Store,Bad,,
Por erro meu nao observei direto e os coracoes vieram menores,,,Neutral,,
"É bom, mas achei que era melhor :|",Product,,Good,Bad,
Bonito,Product,,Good,,
"Não recebi o produto, portanto não posso dar opinião.",,Store,Bad,,
"A marca é excelente. Já comprei calça,  jaqueta e botas. Eu recomendo à  todos. ",Product,,Good,,
"Produto muito bom. Mas, sua textura é pegajosa, dá sensação de pele melecada.",Product,,Good,Bad,
Lindo veio do jeito que eu pedi tudo certinho obrigado,Product,Store,Good,,
"otimo, boa qualidade
e um excelente atendimento",Product,Store,Good,,
Gostei dos produtos comprados e pela agilidade da entrega.,Product,Store,Good,,
"Amei esse top material grosso de qualidade, veste muito bem , tudo de bom@",Product,,Good,,
escolhi essa nota porque é a máxima realmente um produto excelente ,Product,,Good,,
Bem gostoso.,Product,,Good,,
EU ADOREI POIS AS FRAGRÂNCIAS DOCES SÃO MINHAS PREFERIDAS.,Product,,Good,,
Poderia durar mais tempo.,Product,,Bad,,
Um produto de excelente qualidade!,Product,,Good,,
"Poderia ser todo fechado, com fecho ",Product,,Good,,
"muito surpreso com a opcao do brinde.
estou tentando fazer boas compras mais o estoque ta sempre faltando mercadoria e assim sou obrigado a comprar na kabum. Monto computadores e necessito de tudo numa loja so ",,Store,Bad,,
"otimo,gostei muito do produto, pena que faz um barulho no quarto",Product,,Good,Bad,
"Atendeu  parcialmente minhas expectativas, e será usado em outro projeto Pretendo adquirir outros imas mais fortes oportunamente.",Product,,Good,,
"Pois bem.
Minha ideia era usar o conversor para ligar um PS3 em um monitor. Liguei o PS3, um receptor de tv digital e um bluray com o adaptador e utilizei no monitor e na TV pela entrada VGA. Em todos os casos há perda de sinal. A imagem fica sumindo e voltando. A imagem também fica com um aspecto de problema de freqüência, passando uma listras escuras de baixo para cima.
Instalei outro conversor emprestado por um amigo, um pouco mais robusto e funcionou tudo perfeitamente.
O comprado funcionou MUITO BEM ligado apenas no computador. Liguei na saída HDMI da placa de vídeo e no mesmo monitor. Funcionou perfeitamente. Talvez a melhor aplicação do equipamento seja em desktops ou notebooks.",Product,,Good,Bad,Experience
Achei o produto perfeito pois minha festa sera da pequena sereia otimo pra colocar junto com o convite,Product,,Good,,
"Muito transparente, apesar de ter uma cor bonita quando vesti ficou mostrando muito",Product,,Bad,,
Linda viseira. Fica irada no capacete.,Product,,Good,,
"simples achei que viria com os lapis, nao recomendo.",Product,,Bad,,
Lindo e ótima qualidade,Product,,Good,,
Perfeito.,Product,,Good,,
Estou satisfeito com os toners compatíveis da PrintLoja pois correspondem as expectativas e o custo benefício é o melhor do mercado!,Product,,Good,,
Pela facilidade de  uso ,Product,,Good,,
"Meu cabelo ficou mega sedoso e macio. Hidratação na medida certa, amo os produtos desta linha.",Product,,Good,,
"Fiquei muito satisfeita com o produto!! Ótima qualidade!! Comprei no ""escuro"" e não me arrependi em nada. Ameiii!!! Parabéns!! Super indico.",Product,,Good,,
O produto chegou 100% voces estao de parabens!!,,Store,Good,,
Sapato extremamente confortável,Product,,Good,,
Otimo,Product,,Good,,
Veste mto bem! Tecido mto bom,Product,,Good,,
"O produto é tudo que diz ser, e chegou em 3 dias",Product,Store,Good,,
Atendeu as expectativas,Product,,Good,,
Excelente! Recomendo a todos!!! Produto de ótima qualidade e entrega feita no prazo.,Product,Store,Good,,
"perfume fraquissimo,fixação de um segundo e sem nenhuma fragrância,parece até falsificado =((",Product,,Bad,,
"Sempre uso, site com bom preço ",Product,Store,Good,,
Eu. Achei o. Produto excelente ,Product,,Good,,
"Muito bom, pincel de facil aplicação",Product,,Good,,
Atendeu ao que eu esperava.,Product,,Good,,
"Achei a blusa boa e bonita, conforme estava procurando para usar em uma determinada ocasião.",Product,,Good,,
"Estou adorando essa linha da Ikove. O shampoo e o condicionador modificaram a textura do meu cabelo logo no primeiro uso. Estão mais domados, protegidos, macios e luminosos. ",Product,,Good,Experience,
"Perfeita, super amei, de ótima qualidade",Product,,Good,,
excelente produto. pretendo comprar mais,Product,,Good,,
"ótimoooo, adoreiiii tudo o produto o atendimento e a entrega foi rápido.

Eu recomendo!",Product,Store,Good,,
"Material muito fino, não firma, não consegui usar para malhar",Product,,Bad,,
Excelente e confortável ,Product,,Good,,
Meus gatos amaram e eu tb... estou super feliz!!!,Product,,Good,,
Melhor compra na internet... entegra rápida... ótimo  protudo e atendimento..,Product,Store,Good,,
"Ótima cobertura, confortável no lábios e cheiro agradável.",Product,,Good,,
muito bom o produto e a entrega,Product,Store,Good,,
produtos de boa qualidade !,Product,,Good,,
"Recomendo, produto de boa qualidade",Product,,Good,,
"otimo, como sempre né, afinal é cadiveu",Product,,Good,,
Chegou no prazo e em perfeitas condições e super bem embalado,Product,Store,Good,,
"o produto é muito bom!
",Product,,Good,,
Ótima pigmentação. Cor linda!!!,Product,,Good,,
perfeito.,Product,,Good,,
OTIMA,Product,,Good,,
"excelente produto, gostei muito, recomendo",Product,,Good,,
Perfeito,Product,,Good,,
Sempre usei relógios Timex.,Product,,Good,,
"Ótima colonia, adorei, boa mesmo!",Product,,Good,,
Produto bom que atende minhas necessidades.,Product,,Good,,
Nota 10 no produto e  na entrega,Product,Store,Good,,
o produto é bom porém é um pouco oleoso,Product,Store,Good,Bad,
Indicação loja muito boa parabéns,,Store,Good,,
Produto aparentemente bom.,Product,,Good,,
"Excelente, produto vem lacrado e tem um efeito ótimo! ",Product,,Good,,
Achei o produto de boa qualidade.,Product,,Good,,
Achei muito criativo e de bom gosto.,Product,,Good,,
Muito bom e entrega rápida. Recomendo!!,Product,Store,Good,,
"Muito confortável, leve, recomendo",Product,,Good,,
"Excelente produto
Recomendo",Product,,Good,,
Ele é excelente para jogar em grupo e suas peças e cartas tem uma qualidade muito boa.,Product,,Good,,
"O produto é excelente, pois é original da Brastemp.",Product,,Good,,
Excelente! Super recomendo!,Product,,Good,,
Caimento maravilhoso e corte impecável!,Product,,Good,,
Ele é excelente! Veste muito bem!,Product,,Good,,
Maravilhoso,Product,,Good,,
otimo produto e otimo vendedor,Product,,Good,,
muito bom os preços dos jogos,,Store,Good,,
Pulseira ousada e estilosa. Bem legal o produto,Product,Store,Good,,
Muito bom bem forte igual eu queria,Product,,Good,,
"O movel é muito bom, tem qualidade. Vale a pena!",Product,,Good,,
Nao vivo mais sem. Um sache eu uso 2x pois vem uma boa quatidade e eespalhs bem na pele.,Product,,Good,,
O acabamento de uma das peças não estava legal. A mulher maravilha estava com cola aparente.,Product,,Bad,,
"Restaura gostosa, cor discreta e valoriza as curvas charmosas do aparelho.",Product,,Good,,
Produto excelente.,Product,,Good,,
Produto de acordo com o especificado.,Product,,Good,,
"muito boa, ótimo caimento. linda.",Product,,Good,,
Muito legal a estampa e a camiseta é de boa qualidade. Recomendo.,Product,,Good,,
Rapido e seguro!!,Product,,Good,,
O Vestido é maravilhoso e todo mundo gostou e elogiou,Product,,Good,,
"Sim, gostei muito, pela variedade de produtos em um so.",Product,,Good,,
"Gostei muito, primeira vez que uso. Firme, não oleoso e com excelente rendimento.",Product,,Good,,
"preço excelente, otimo para carregar sempre no carro",Product,,Good,,
"Adorei, caimento perfeito. Há 20 anos sou apaixonada pela TVZ que está sempre inovando. ",Product,,Good,,
Gostei só o porta espelho deveria ser como a da outra frasqueira.,Product,,Good,,
Fiquei com impressão que é falsificado.,Product,,Bad,,
Muito bom livro super recomendo!!!,Product,,Good,,
"Produto muito bom, foi além do que esperava, entrega antes do prazo combinado.",Product,Store,Good,,
"pq ela é maravilhosa
não gruda nada
é perfeita
amei ",Product,,Good,,
Fixa sem pesar os fios mais rebeldes. Ótimo para penteados elaborados que devem durar o dia inteiro. ,Product,,Good,,
"Ainda não posso dizer que é ótimo mas recomendo o produto sim . Faz uma semana que estou usando, deixa a pele bem lisinha e o efeito tensor é imediato, tem cheiro suave e agradável. ",Product,,Good,,
"Tampa maior que o espaço, tive que cortar o carpete, lixar a tampar e colar novamente.",Product,,Bad,,
"Eu amei a entrega! Foi rápida, produto exaram te que eu pedi e uma graca de embalagem com um docinho junto! Hummm! Vcs são incríveis !!!!",,Store,Good,,
Alta Qualidade! ótimo acabamento RECOMENDADO,Product,,Good,,
"Produto perfeito ,tamanho ideal !!!",Product,,Good,,
produto completo com toda proteina que preciso,Product,,Good,,
Minja esposa gostou do produto. Fixa razoavelmente bem. Otima fragrância e entrega da loja foi muito rapida,Product,Store,Good,,
"a qualidade poderia ser um pouquinho melhor, mas pelo preço, justifica",Product,,Good,,
estou colocando para meus peixes e eles estao adorando,Product,,Good,,
Minha filha ama esse perfume. Sempre que posso compro para ela.,Product,,Good,,
"Amei a fragancia!!!!
Perfume leve,suave e intenso!!!",Product,,Good,,
"Bom preco, perfume agradavel,nao provoca alergia nos caes",Product,,Good,,
òtimas ,Product,,Good,,
Poderia ter um pouco mais de acabamento,Product,,Bad,,
"10!!! tudo muito bom!!!
estão de parabéns!!!",Product,,Good,,
"legal, bom recomendo",Product,,Good,,
Prático e eficiente. Recomendo. ,Product,,Good,,
"Otimo chego muito rápido io produto e muito bam 











..
.",Product,Store,Good,,
"Bom tecido, só achei um pouco mais larga do que o normal. ",Product,,Good,Bad,
Precisa melhorar o perfume.,Product,,Bad,,
Gostei de toda esta linha. Funciona como na descrição do produto. Amei...,Product,,Good,,
Otimo material.,Product,,Good,,
perfeito,Product,,Good,,
"Adorei essa colher,uso muito.",Product,,Good,,
"Produto de ótima qualidade, recomendo.",Product,,Good,,
Maravilhoso! Sofisticado e excelente durabilidade.,Product,,Good,,
Excelente. Jogo bem divertido  pena ser curto. ,Product,,Good,Bad,
pq tive um problema com o alarme e resolvi diretamente com a Olimpus.,,Store,Good,,
Linda!,Product,,Good,,
otimo produto,Product,,Good,,
"Ótimo aroma com uma boa projeção, mas a fixação na minha pele não foi tão tão prolongada quanto eu esperava. Mas mesmo assim gostei bastante do perfume.",Product,,Good,,
"Muito bom,gostei muito do produto e muito confortável...",Product,,Good,,
"produto fraco, material ruim, pensei q fosse um material de melhor qualidade",Product,,Bad,,
Darei novamente. Com um pé atrás pelos boatos sobre este porém nunca tive problemas,,,Neutral,,
Linda de excelente qualidade. Recomendo,Product,,Good,,
"ótimo produto , estou muito satisfeito",Product,,Good,,
Otima,Product,,Good,,
"Ele é ótimo, adocicado na medida, do jeito que eu gosto, tem uma fixação boa. E o Boticário como sempre entrega tudo certinho.",Product,Store,Good,,
"Pessoalmente mais lindo ainda, coloquei na cabeceira da minha cama ficou um Arraso, me deu um pouco de trabalho mas foi porque minha parece tem umas bolhinhas mas ficou Lindisso, Coloquei uns que vieram na cozinha e a aplicação foi facil e rapido ",Product,,Good,,
Bom atendimento e entrega antes do prazo previsto,Product,Store,Good,,
Ótimo produto. ,Product,,Good,,
"Uma delicia, perfumada suave, deixa o corpo cheiroso adoravel simplesmente amei",Product,,Good,,
Ótimo produto !!!,Product,,Good,,
"Escolhi porque o encaixe da buzina não encaixa totalmente no volante ficando com uma pequena folga , mas de resto o volante e excelente, com uma pegada boa e o design muito bonito.",Product,,Good,Bad,
"Produto muito bom, chegou antes do prazo de entrega estipulado pela loja... enfim, recomendo essa loja.",Product,Store,Good,,
Nota 10. Chegou rápido e bem embalado. Produto excelente ,Product,Store,Good,,
Mto bom,Product,,Good,,
"Perfeita, qualidade sensacional. Adorei a cor.",Product,,Good,,
bom,Product,,Good,,
"Estou começando a usa-la. É boa, mas a original do sepap era melhor. Infelizmente não fabricam mais.",Product,,Good,,
"recomendo.
estou satisfeito com os produtos.",Product,,Good,,
Show de bola produtos otimos e entrwga perfeita,Product,Store,Good,,
não vale a pena comprar na honey be ,,Store,Bad,,
"Não deixa o cabelo engordurado, define os cachos e mantém a hidratação desde que o cabelo esteja já hidratado. Se ele for/estiver muito seco, acaba não sendo uma boa opção.",Product,,Good,,
Bem bacana. Tecido não amassa muito,Product,,Good,,
"É um livro que contempla um assunto prático para a vida diaria da Igreja de Cristo, e ainda, com uma linguagem de fácil assimilação. Para isso, o autor do livro, inteligentemente, nos esclarece sobre os conflitos no campo espiritual, e logo no, primeiro capítulo (p 7) relata: "" Podemos dizer que a guerra começa no interior do homem"". Trata-se de guerra espiritual, daquela militância entre a carne (natureza humana) e o espírito próprio do homem. É recompensador espiritualmente ler este livro.",Product,,Good,,
Só não dou nota máxima porque não vem com a válvula spray...,Product,,Good,Bad,
"Dentro do previsto, atendendo as necessidades!",Product,,Good,,
"comprei o produto e não o recebi até presente data, desde o inicio de Janeiro, erro de logistica da empresa que mandou o meu produto para outro cliente. ",,Store,Bad,,
ÓTIMO,Product,,Good,,
Aparelho que é satisfatório em tudo que necessito,Product,,Good,,
o pneu goodyear é mais macio e mais confortável para uso hurbano ,Product,,Good,,
"Material de primeira, veste super bem. Muito linda!",Product,,Good,,
Produto excelente e entrega muito rapida. ,Product,Store,Good,,
"Muito bom os produtos!
A bolsinha é linda",Product,,Good,,
Cheiro maravilhoso ... deixa o cabelo macio e sedoso.,Product,,Good,,
"Comprei várias obras em conjunto
Compra recente
ainda não li.
Mas tenho a certeza de que será uma excelente leitura.",Product,,Good,,
"Maravilhosa! Sinceramente, mais bonita do que está na foto! ",Product,,Good,,
Linda....entrega perfeita... só faltou o sache do perfume da loja.,Product,Store,Good,,
"dentro das expectativas propostas!
",Product,,Good,,
